# ESTAR: Stopping Powers and Range Tables for Electrons
# 
# AIR, DRY (NEAR SEA LEVEL)                                              
#
# Kinetic  	Collision	Radiative	Total    	D. Effect	
# Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
# MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	
#
1.000E-03	1.025E+02	2.890E-03	1.025E+02	0.000E+00
1.084E-03	9.746E+01	2.953E-03	9.746E+01	0.000E+00
1.176E-03	9.260E+01	3.017E-03	9.260E+01	0.000E+00
1.275E-03	8.791E+01	3.078E-03	8.792E+01	0.000E+00
1.383E-03	8.340E+01	3.135E-03	8.340E+01	0.000E+00
1.499E-03	7.906E+01	3.191E-03	7.906E+01	0.000E+00
1.500E-03	7.903E+01	3.191E-03	7.903E+01	0.000E+00
1.626E-03	7.489E+01	3.243E-03	7.489E+01	0.000E+00
1.763E-03	7.089E+01	3.294E-03	7.090E+01	0.000E+00
1.912E-03	6.707E+01	3.343E-03	6.708E+01	0.000E+00
2.000E-03	6.501E+01	3.369E-03	6.502E+01	0.000E+00
2.073E-03	6.342E+01	3.389E-03	6.342E+01	0.000E+00
2.248E-03	5.993E+01	3.433E-03	5.993E+01	0.000E+00
2.437E-03	5.660E+01	3.474E-03	5.661E+01	0.000E+00
2.500E-03	5.560E+01	3.487E-03	5.560E+01	0.000E+00
2.643E-03	5.344E+01	3.514E-03	5.344E+01	0.000E+00
2.866E-03	5.042E+01	3.552E-03	5.043E+01	0.000E+00
3.000E-03	4.879E+01	3.572E-03	4.879E+01	0.000E+00
3.108E-03	4.756E+01	3.587E-03	4.756E+01	0.000E+00
3.370E-03	4.484E+01	3.621E-03	4.484E+01	0.000E+00
3.500E-03	4.362E+01	3.636E-03	4.362E+01	0.000E+00
3.654E-03	4.226E+01	3.652E-03	4.226E+01	0.000E+00
3.963E-03	3.981E+01	3.682E-03	3.981E+01	0.000E+00
4.000E-03	3.953E+01	3.685E-03	3.954E+01	0.000E+00
4.297E-03	3.749E+01	3.710E-03	3.749E+01	0.000E+00
4.500E-03	3.623E+01	3.724E-03	3.623E+01	0.000E+00
4.660E-03	3.530E+01	3.735E-03	3.530E+01	0.000E+00
5.000E-03	3.348E+01	3.756E-03	3.349E+01	0.000E+00
5.053E-03	3.322E+01	3.759E-03	3.322E+01	0.000E+00
5.479E-03	3.126E+01	3.781E-03	3.126E+01	0.000E+00
5.941E-03	2.940E+01	3.802E-03	2.941E+01	0.000E+00
6.000E-03	2.918E+01	3.804E-03	2.919E+01	0.000E+00
6.442E-03	2.765E+01	3.821E-03	2.766E+01	0.000E+00
6.986E-03	2.600E+01	3.838E-03	2.600E+01	0.000E+00
7.000E-03	2.596E+01	3.838E-03	2.596E+01	0.000E+00
7.575E-03	2.444E+01	3.854E-03	2.445E+01	0.000E+00
8.000E-03	2.344E+01	3.864E-03	2.345E+01	0.000E+00
8.214E-03	2.297E+01	3.868E-03	2.298E+01	0.000E+00
8.907E-03	2.159E+01	3.881E-03	2.159E+01	0.000E+00
9.000E-03	2.142E+01	3.882E-03	2.142E+01	0.000E+00
9.659E-03	2.029E+01	3.892E-03	2.029E+01	0.000E+00
1.000E-02	1.975E+01	3.897E-03	1.976E+01	0.000E+00
1.047E-02	1.906E+01	3.903E-03	1.906E+01	0.000E+00
1.136E-02	1.791E+01	3.912E-03	1.791E+01	0.000E+00
1.232E-02	1.682E+01	3.920E-03	1.682E+01	0.000E+00
1.335E-02	1.580E+01	3.927E-03	1.580E+01	0.000E+00
1.448E-02	1.484E+01	3.934E-03	1.485E+01	0.000E+00
1.500E-02	1.444E+01	3.937E-03	1.445E+01	0.000E+00
1.570E-02	1.394E+01	3.940E-03	1.395E+01	0.000E+00
1.703E-02	1.310E+01	3.945E-03	1.310E+01	0.000E+00
1.846E-02	1.231E+01	3.950E-03	1.231E+01	0.000E+00
2.000E-02	1.157E+01	3.954E-03	1.158E+01	0.000E+00
2.002E-02	1.156E+01	3.954E-03	1.157E+01	0.000E+00
2.171E-02	1.086E+01	3.959E-03	1.087E+01	0.000E+00
2.354E-02	1.021E+01	3.963E-03	1.021E+01	0.000E+00
2.500E-02	9.753E+00	3.966E-03	9.757E+00	0.000E+00
2.553E-02	9.598E+00	3.967E-03	9.602E+00	0.000E+00
2.768E-02	9.025E+00	3.971E-03	9.028E+00	0.000E+00
3.000E-02	8.491E+00	3.976E-03	8.495E+00	0.000E+00
3.002E-02	8.487E+00	3.976E-03	8.491E+00	0.000E+00
3.255E-02	7.985E+00	3.981E-03	7.989E+00	0.000E+00
3.500E-02	7.562E+00	3.986E-03	7.566E+00	0.000E+00
3.530E-02	7.515E+00	3.987E-03	7.519E+00	0.000E+00
3.827E-02	7.075E+00	3.994E-03	7.079E+00	0.000E+00
4.000E-02	6.848E+00	3.998E-03	6.852E+00	0.000E+00
4.150E-02	6.664E+00	4.002E-03	6.668E+00	0.000E+00
4.500E-02	6.280E+00	4.011E-03	6.284E+00	0.000E+00
4.501E-02	6.280E+00	4.011E-03	6.284E+00	0.000E+00
4.880E-02	5.921E+00	4.022E-03	5.925E+00	0.000E+00
5.000E-02	5.818E+00	4.025E-03	5.822E+00	0.000E+00
5.292E-02	5.586E+00	4.034E-03	5.590E+00	0.000E+00
5.738E-02	5.273E+00	4.048E-03	5.277E+00	0.000E+00
6.000E-02	5.110E+00	4.057E-03	5.114E+00	0.000E+00
6.223E-02	4.982E+00	4.064E-03	4.986E+00	0.000E+00
6.748E-02	4.710E+00	4.083E-03	4.714E+00	0.000E+00
7.000E-02	4.593E+00	4.093E-03	4.597E+00	0.000E+00
7.317E-02	4.456E+00	4.105E-03	4.461E+00	0.000E+00
7.934E-02	4.220E+00	4.130E-03	4.225E+00	0.000E+00
8.000E-02	4.197E+00	4.133E-03	4.201E+00	0.000E+00
8.603E-02	4.001E+00	4.158E-03	4.005E+00	0.000E+00
9.000E-02	3.885E+00	4.175E-03	3.889E+00	0.000E+00
9.329E-02	3.797E+00	4.190E-03	3.801E+00	0.000E+00
1.000E-01	3.633E+00	4.222E-03	3.637E+00	0.000E+00
1.012E-01	3.607E+00	4.227E-03	3.611E+00	0.000E+00
1.097E-01	3.430E+00	4.269E-03	3.434E+00	0.000E+00
1.190E-01	3.266E+00	4.316E-03	3.271E+00	0.000E+00
1.290E-01	3.115E+00	4.369E-03	3.119E+00	0.000E+00
1.399E-01	2.974E+00	4.428E-03	2.978E+00	0.000E+00
1.500E-01	2.861E+00	4.485E-03	2.865E+00	0.000E+00
1.517E-01	2.844E+00	4.495E-03	2.848E+00	0.000E+00
1.645E-01	2.723E+00	4.569E-03	2.728E+00	0.000E+00
1.783E-01	2.612E+00	4.653E-03	2.617E+00	0.000E+00
1.934E-01	2.510E+00	4.747E-03	2.514E+00	0.000E+00
2.000E-01	2.469E+00	4.789E-03	2.474E+00	0.000E+00
2.097E-01	2.415E+00	4.852E-03	2.420E+00	0.000E+00
2.274E-01	2.329E+00	4.969E-03	2.334E+00	0.000E+00
2.466E-01	2.249E+00	5.102E-03	2.254E+00	0.000E+00
2.500E-01	2.236E+00	5.126E-03	2.241E+00	0.000E+00
2.674E-01	2.176E+00	5.251E-03	2.182E+00	0.000E+00
2.899E-01	2.110E+00	5.418E-03	2.115E+00	0.000E+00
3.000E-01	2.084E+00	5.495E-03	2.089E+00	0.000E+00
3.144E-01	2.050E+00	5.606E-03	2.055E+00	0.000E+00
3.409E-01	1.995E+00	5.816E-03	2.001E+00	0.000E+00
3.500E-01	1.978E+00	5.890E-03	1.984E+00	0.000E+00
3.697E-01	1.945E+00	6.053E-03	1.951E+00	0.000E+00
4.000E-01	1.902E+00	6.311E-03	1.908E+00	0.000E+00
4.009E-01	1.901E+00	6.319E-03	1.907E+00	0.000E+00
4.347E-01	1.861E+00	6.618E-03	1.867E+00	0.000E+00
4.500E-01	1.845E+00	6.757E-03	1.852E+00	0.000E+00
4.714E-01	1.825E+00	6.954E-03	1.832E+00	0.000E+00
5.000E-01	1.802E+00	7.223E-03	1.809E+00	0.000E+00
5.111E-01	1.794E+00	7.329E-03	1.801E+00	0.000E+00
5.543E-01	1.766E+00	7.750E-03	1.774E+00	0.000E+00
6.000E-01	1.743E+00	8.210E-03	1.751E+00	0.000E+00
6.010E-01	1.742E+00	8.220E-03	1.750E+00	0.000E+00
6.517E-01	1.722E+00	8.745E-03	1.730E+00	0.000E+00
7.000E-01	1.706E+00	9.258E-03	1.715E+00	0.000E+00
7.067E-01	1.704E+00	9.331E-03	1.713E+00	0.000E+00
7.663E-01	1.690E+00	9.985E-03	1.700E+00	0.000E+00
8.000E-01	1.683E+00	1.036E-02	1.694E+00	0.000E+00
8.310E-01	1.678E+00	1.071E-02	1.689E+00	0.000E+00
9.000E-01	1.669E+00	1.151E-02	1.681E+00	0.000E+00
9.011E-01	1.669E+00	1.153E-02	1.680E+00	0.000E+00
9.771E-01	1.662E+00	1.243E-02	1.675E+00	0.000E+00
1.000E+00	1.661E+00	1.271E-02	1.674E+00	0.000E+00
1.060E+00	1.658E+00	1.345E-02	1.671E+00	0.000E+00
1.149E+00	1.656E+00	1.457E-02	1.670E+00	0.000E+00
1.246E+00	1.655E+00	1.583E-02	1.671E+00	0.000E+00
1.351E+00	1.657E+00	1.723E-02	1.674E+00	0.000E+00
1.465E+00	1.660E+00	1.878E-02	1.678E+00	0.000E+00
1.500E+00	1.661E+00	1.927E-02	1.680E+00	0.000E+00
1.589E+00	1.664E+00	2.052E-02	1.685E+00	0.000E+00
1.723E+00	1.670E+00	2.244E-02	1.693E+00	0.000E+00
1.868E+00	1.677E+00	2.457E-02	1.702E+00	0.000E+00
2.000E+00	1.684E+00	2.656E-02	1.711E+00	0.000E+00
2.026E+00	1.686E+00	2.694E-02	1.713E+00	0.000E+00
2.196E+00	1.695E+00	2.957E-02	1.725E+00	0.000E+00
2.382E+00	1.706E+00	3.248E-02	1.738E+00	0.000E+00
2.500E+00	1.712E+00	3.437E-02	1.747E+00	0.000E+00
2.583E+00	1.717E+00	3.570E-02	1.753E+00	0.000E+00
2.801E+00	1.729E+00	3.927E-02	1.768E+00	0.000E+00
3.000E+00	1.740E+00	4.260E-02	1.783E+00	0.000E+00
3.037E+00	1.742E+00	4.321E-02	1.785E+00	0.000E+00
3.293E+00	1.755E+00	4.757E-02	1.803E+00	0.000E+00
3.500E+00	1.766E+00	5.115E-02	1.817E+00	0.000E+00
3.571E+00	1.770E+00	5.239E-02	1.822E+00	0.000E+00
3.872E+00	1.784E+00	5.771E-02	1.842E+00	0.000E+00
4.000E+00	1.790E+00	5.999E-02	1.850E+00	0.000E+00
4.199E+00	1.799E+00	6.358E-02	1.863E+00	0.000E+00
4.500E+00	1.812E+00	6.908E-02	1.881E+00	0.000E+00
4.553E+00	1.815E+00	7.006E-02	1.885E+00	0.000E+00
4.937E+00	1.831E+00	7.720E-02	1.908E+00	0.000E+00
5.000E+00	1.833E+00	7.838E-02	1.911E+00	0.000E+00
5.354E+00	1.847E+00	8.507E-02	1.932E+00	0.000E+00
5.805E+00	1.863E+00	9.375E-02	1.957E+00	0.000E+00
6.000E+00	1.870E+00	9.754E-02	1.967E+00	0.000E+00
6.295E+00	1.880E+00	1.033E-01	1.983E+00	0.000E+00
6.826E+00	1.897E+00	1.138E-01	2.011E+00	0.000E+00
7.000E+00	1.902E+00	1.173E-01	2.020E+00	0.000E+00
7.402E+00	1.914E+00	1.254E-01	2.039E+00	0.000E+00
8.000E+00	1.931E+00	1.376E-01	2.068E+00	0.000E+00
8.026E+00	1.931E+00	1.382E-01	2.070E+00	0.000E+00
8.704E+00	1.949E+00	1.522E-01	2.101E+00	0.000E+00
9.000E+00	1.956E+00	1.584E-01	2.115E+00	0.000E+00
9.438E+00	1.967E+00	1.676E-01	2.134E+00	0.000E+00
1.000E+01	1.979E+00	1.795E-01	2.159E+00	0.000E+00
1.023E+01	1.984E+00	1.845E-01	2.169E+00	0.000E+00
1.110E+01	2.002E+00	2.031E-01	2.205E+00	0.000E+00
1.203E+01	2.020E+00	2.235E-01	2.244E+00	0.000E+00
